id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
GTM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.82252368070346e-05	4.57004179476503e-09	0.0335444270358914	1	1	0.444303073059199	0.351580497692937	1	1	0.20962736846603	1	1	1	1	1	1	1	1	1
GUY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HKG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HRV	1	1	1	1	1	0.00241594763946911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.31009730122339e-08	1	1	1	1	0.000603064570399357	1	1	1	1	1	1	1	1	1	1
HTI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HUN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.08636965820657e-24	8.65518086128261e-15	0.629050421818929	0.146784794203314	0.973112308775442	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IDN	3.45773357184608e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.97123440783072e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.93742877782278e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.73231492623932e-13	1	1	1	1	1	1	1	1	1
IRL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000284074276438944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRN	1	1	1	1	1	1	1	1	1	0.000512521894566075	1	0.406778510203118	0.00757368517766065	2.15167968876332e-23	0.546370309730063	0.411632564691891	1	1	1	1	1	1	1	1	1	0.00314494611225338	0.00534254344768889	3.1313867250869e-11	8.32315062383546e-17	0.97625483521659	1	1	1	1	1	0.140522433305499	0.0952342060849004	1	0.0355782374521163	0.0954249292668298	1	1	1	7.77487480872619e-06	0.460008628792511	1	1	1	1	1	1	1	2.06957140362555e-06
