"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"	"2014-47"	"2014-48"	"2014-49"	"2014-50"	"2014-51"	"2014-52"
"IRL"	0	1	0	2	2	0	1	1	2	1	2	1	0	3	0	1	5	1	1	3	0	5	3	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	1	0	0	3	1	2	1	4	0
"IRN"	5	10	10	18	4	7	7	2	3	3	11	5	5	9	9	4	4	2	5	12	6	11	9	7	6	1	8	12	1	2	1	5	5	6	7	7	6	9	3	6	8	7	6	7	3	14	12	9	3	5	1	0
"IRQ"	11	11	8	6	4	7	4	3	1	3	2	4	3	3	4	4	6	1	3	4	2	5	55	32	42	25	18	14	9	6	30	40	19	19	23	14	18	17	14	9	17	10	7	7	10	7	2	11	4	5	4	1
"ISL"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ISR"	12	13	11	5	14	7	4	6	6	9	14	6	18	8	6	6	8	4	6	8	9	13	12	5	11	27	24	51	57	39	36	14	12	28	12	9	8	12	10	7	4	9	19	15	11	14	7	9	15	12	8	3
"ITA"	3	2	2	5	6	4	5	0	2	3	4	1	3	1	4	4	2	5	6	3	3	4	6	0	1	5	3	5	4	0	1	4	2	0	0	0	1	0	0	1	3	1	2	3	2	2	4	4	5	0	2	3
"JAM"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"JOR"	2	1	0	0	1	0	1	0	0	1	1	2	2	2	2	0	0	0	3	0	4	1	0	0	2	2	0	1	0	0	0	2	0	0	1	1	0	0	0	1	0	0	3	3	1	4	2	0	3	1	4	0
"JPN"	3	5	7	5	7	4	7	5	1	6	9	6	9	5	4	10	1	1	3	4	4	1	8	1	4	3	5	4	1	2	4	2	7	2	4	5	3	5	6	7	5	4	4	5	6	9	4	2	8	4	5	1
"KAZ"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"KEN"	0	1	0	2	0	0	0	0	0	0	1	0	3	1	1	1	4	1	2	0	0	0	0	3	2	4	2	1	1	0	0	1	0	0	1	0	1	0	1	3	1	0	0	0	0	1	0	7	0	2	0	0
"KGZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"KHM"	4	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2	1	0	0	0	2	0	1	2	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0
"KOR"	2	4	1	4	2	3	4	6	1	1	3	6	3	0	12	18	5	7	7	4	6	3	3	2	5	4	2	2	4	2	3	9	4	2	3	1	3	1	4	9	6	4	8	6	4	2	0	4	3	4	4	1
"KWT"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
"LAO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LBN"	10	2	4	1	1	0	1	1	0	4	0	0	1	0	1	1	0	0	1	2	2	2	0	0	3	1	1	1	0	2	5	0	0	1	0	2	1	1	0	6	0	1	3	2	0	0	1	7	1	0	1	0
"LBR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	5	6	4	2	4	1	6	9	6	7	7	5	3	3	3	2	1	3	3	2	1
"LBY"	1	3	1	3	3	1	0	0	1	5	3	0	0	1	2	0	4	2	6	5	5	2	1	1	8	0	2	3	2	6	2	1	4	2	2	0	3	1	1	4	3	1	1	1	3	1	1	0	3	0	1	2
"LIE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"LKA"	0	1	0	0	1	2	0	2	0	0	2	5	0	0	0	0	0	1	0	1	0	0	0	2	1	0	1	1	1	0	1	0	0	0	0	0	3	1	0	0	1	0	3	1	0	2	0	1	0	0	1	1
"LSO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LTU"	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	1
"LUX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0
