id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52	week53
GUY	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	7	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HKG	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	0
HND	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	0	5	1	1	0	2	1	1	2	0	2	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	1	1	0	0	0	0
HRV	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	11	10	3	1	4	8	4	0	5	2	0	1	0	1	1	0
HTI	4	2	2	0	0	0	0	2	2	1	0	0	0	0	2	0	0	0	1	4	1	1	0	0	1	2	1	1	2	1	0	4	1	2	1	0	0	0	0	2	0	0	4	3	1	0	0	0	0	0	1	2	1
HUN	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	1	0	1	1	2	3	0	0	0	1	0	0	0	1	12	35	18	22	13	5	0	6	2	0	0	1	0	0	0	0	1	0	0
IDN	17	6	6	0	2	1	0	0	0	2	3	0	0	0	0	1	3	9	3	3	3	1	0	1	0	0	5	0	1	1	3	1	1	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	2	1	1
IND	3	4	1	0	1	0	1	0	0	0	0	1	0	1	1	0	5	6	2	2	1	4	4	2	0	0	0	5	1	1	0	3	1	0	1	1	3	0	2	2	2	1	0	5	0	0	0	2	3	3	1	2	0
IRL	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	0	1	2	9	1	0	1	1	2	1	0	0	0	2	0	1	0	1	2	3	0	0	0	1	1	2	0	4	0	0	1	1	1	0	0	2
IRN	9	3	6	9	3	10	7	5	5	14	21	14	11	54	20	28	13	5	3	6	7	10	4	5	0	8	13	14	38	20	10	9	4	8	11	5	9	2	9	16	8	19	5	14	8	3	2	6	5	2	7	5	17
