id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52
ISR	6	3	2	0	3	1	0	0	4	4	2	4	2	5	2	2	2	2	2	0	2	2	3	5	3	8	12	13	16	15	13	13	7	14	11	5	2	1	3	4	3	4	2	2	2	6	4	2	7	4	2	4	3
ITA	2	0	0	2	1	2	5	7	2	1	1	0	2	1	1	2	1	0	1	1	0	0	0	1	0	0	2	0	4	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	0	2	1
JAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JOR	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0
JPN	1	2	1	1	1	6	3	2	2	1	8	0	3	5	6	2	5	0	1	1	0	5	2	1	0	0	2	2	2	0	2	2	3	5	2	2	2	0	4	5	3	2	2	0	5	3	3	2	0	4	1	3	0
KAZ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KEN	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	1	1	1	0	1	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	1	0	0
KHM	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KOR	2	1	1	2	1	2	2	2	3	3	0	2	1	1	1	5	7	8	5	3	4	4	1	3	0	4	0	1	1	3	1	0	4	2	1	0	0	0	1	2	2	3	0	3	0	1	1	0	2	0	0	2	0
KWT	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
