"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-07"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"
"PRT"	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRY"	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSE"	25	17	18	12	16	11	12	10	13	22	20	16	2	16	2	1	3	2	1	0	0	3	4	1	1	3	9	15	16	33	28	20	7	11	8	4	2	2	2	2	2	2	2	2	1	1	4
"QAT"	1	1	0	0	2	0	2	1	3	4	1	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"ROU"	1	5	6	9	3	1	3	2	2	2	5	3	1	1	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"RUS"	6	8	17	14	24	49	44	47	104	113	69	114	53	24	23	31	25	31	26	18	27	14	18	12	5	11	8	6	19	15	3	8	8	8	20	23	4	8	2	2	3	2	8	5	2	12	6
"RWA"	6	4	3	3	2	4	0	1	1	3	4	2	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAU"	3	0	2	2	3	9	3	2	1	8	3	1	4	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0
"SDN"	12	11	11	10	11	1	8	8	4	6	5	1	2	2	0	0	2	1	0	4	0	1	0	0	0	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SEN"	2	4	2	3	4	8	6	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SGP"	0	0	0	0	1	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLE"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0
"SLV"	0	1	2	0	2	13	7	3	1	3	9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"SOM"	5	4	7	4	4	3	5	9	6	3	3	3	1	3	0	1	0	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0
"SRB"	0	2	3	4	9	1	1	1	1	2	4	5	2	1	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"SSD"	12	11	11	9	8	1	7	8	2	4	3	1	1	1	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"STP"	9	0	2	2	3	9	3	4	0	8	3	1	4	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	2	0	0
"SUR"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SVK"	1	1	0	0	0	1	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SVN"	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SWE"	2	3	3	1	2	1	4	0	2	3	8	4	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	6	0	0	0	0
"SYC"	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SYR"	15	41	55	79	64	34	67	37	32	33	40	41	7	11	4	1	4	3	11	4	4	7	7	2	5	7	6	1	1	4	3	0	5	8	11	3	11	7	15	11	12	8	4	6	5	7	5
"TCD"	0	5	1	2	1	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"TGO"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THA"	1	5	19	16	12	5	7	14	11	9	6	8	3	5	1	0	0	0	3	2	12	4	1	2	0	0	0	0	0	1	1	7	2	1	0	1	0	4	0	2	0	0	0	0	1	0	2
"TJK"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TKM"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TLS"	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TON"	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TTO"	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TUN"	3	7	2	5	3	8	2	6	2	3	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"TUR"	4	8	15	5	5	14	13	8	8	3	7	18	6	1	0	0	1	0	0	19	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	4	4	1	8	3	3	3	1	2	0
"TWN"	0	3	1	0	1	0	3	2	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TZA"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"UGA"	1	0	5	5	4	0	10	7	15	3	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UKR"	3	5	7	36	35	23	11	102	123	123	86	118	51	25	28	33	33	37	30	20	23	16	19	13	6	9	8	4	25	21	8	6	10	9	17	21	5	9	2	2	1	0	5	2	2	5	4
"URY"	0	2	2	0	1	0	0	0	1	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USA"	147	235	241	221	275	216	269	220	247	257	310	276	153	172	32	43	52	62	24	20	30	37	32	48	11	28	29	19	17	20	33	20	23	30	20	27	16	23	36	24	20	19	25	16	26	28	14
"UZB"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAT"	8	13	14	18	8	17	3	14	14	3	7	11	7	9	2	6	5	2	1	1	2	7	0	4	2	1	2	1	0	1	0	1	3	3	0	0	1	4	0	0	2	5	1	0	0	1	0
"VCT"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VEN"	0	4	4	4	5	0	19	30	19	20	18	12	11	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VIR"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNM"	1	0	4	1	1	0	1	2	2	6	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VUT"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WSM"	0	0	1	1	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"XK"	0	1	2	1	3	6	1	2	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"YEM"	4	4	7	5	12	5	8	9	5	7	3	4	2	3	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"ZAF"	8	6	5	11	11	12	9	9	6	14	2	7	5	1	21	7	1	1	6	2	1	4	0	0	0	0	4	2	2	0	0	3	0	2	0	0	3	0	0	0	0	0	2	0	0	1	0
"ZMB"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZWE"	2	3	1	3	1	2	1	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
