id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
CYP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CZE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00355788633596955	1	1
DEU	1	1	0.0883673672271786	1	0.0193394483959262	6.69954189492794e-09	0.276302002234968	1	1	1	1	1	8.47392915389374e-15	0.0149738843469058	1	1	0.112359249691143	0.0980807899852488	0.197287641849223	1	1	1	1	1	1	0.0120206081169935	0.38834233646307	0.660062720077612	0.00912680392427788	1	1	1	1	0.25937749620541	2.61182744455643e-06	1	1	0.598067067294115	0.0311520360285429	0.998378106212262	0.863937005381846	0.546686485748151	0.5155910496347	0.680666961193269	0.139770643399298	0.546500774813052	0.969283839603609	0.999347501909866	0.290911803187976	0.085805825295971	0.781541372209575	0.679614703249492	0.149078036645772
DJI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNK	1	1	1	1	1	1	4.9522120053235e-11	6.98967509870623e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.89830054405989e-08	0.00415967828725542	0.0328299910606796	1	1	1	1	1	1	1	0.000444951407177787	1	0.00146451771394913	1	1
DOM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DZA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ECU	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.42470981107172e-06	1	1	1	1	1
EGY	1	1	1	1	1	1	0.0059625446597256	2.34825570652492e-07	1	1	1	0.00313809733460511	1	1	1	1	1	1	1	0.00313682524765821	1	0.00694872010824336	1	0.0247467107101682	0.0230291920299224	1	0.00212779930633356	1	0.0666724763498487	1	1	1	1	0.0583973122504279	1	1	1	0.913444035716489	0.658451611575909	0.999992438227134	0.99800942002968	0.0140793869348287	0.42601038333127	1.7164626618885e-08	1.08053773684904e-24	0.235330030346865	0.897949879565025	0.99142573977263	0.879930562254715	0.983085329354489	0.998185536654349	0.997703293759818	0.595767202942566
