"","i","j","fij"
"196","Saint-Antonin-Noble-Val","Bourg-en-Bresse",355213.96218033
"197","Belfort","Bourg-en-Bresse",202133.418197906
"198","Créteil","Bourg-en-Bresse",354398.164628014
"199","Ivry-sur-seine","Bourg-en-Bresse",359851.072894091
"200","Villejuif","Bourg-en-Bresse",359425.985394503
"201","Bonneuil-sur-Marne","Bourg-en-Bresse",352016.952959551
"202","Vitry-sur-Seine","Bourg-en-Bresse",357483.422880332
"203","Cergy","Bourg-en-Bresse",396632.990689064
"204","Draguignan","Bourg-en-Bresse",311837.706722893
"205","Toulon","Bourg-en-Bresse",346626.600732259
"206","Avignon","Bourg-en-Bresse",252710.519029386
"207","La Roche-sur-Yon","Bourg-en-Bresse",513175.983943354
"208","Les Sables d'Olonne","Bourg-en-Bresse",539733.660299589
"209","Poitiers","Bourg-en-Bresse",377597.33860497
"210","Plombières-les-Bains","Bourg-en-Bresse",216565.740244731
"211","Épinal","Bourg-en-Bresse",237633.336875922
"212","Auxerre","Bourg-en-Bresse",216184.684562811
"213","Sens","Bourg-en-Bresse",265733.056260065
"214","Tonnerre","Bourg-en-Bresse",206586.024986038
"215","Élancourt","Bourg-en-Bresse",376671.524435785
"216","La Verrière","Bourg-en-Bresse",479923.136963416
"217","Mantes la Jolie","Bourg-en-Bresse",406492.819079805
"218","Rambouillet","Bourg-en-Bresse",372851.762073038
"219","Saint-Quentin-en-Yvelines","Bourg-en-Bresse",361573.681132591
"220","Leipzig","Bourg-en-Bresse",775746.833689105
"221","München","Bourg-en-Bresse",526525.071810646
"222","Berlin","Bourg-en-Bresse",918590.489364452
"223","Bruxelles","Bourg-en-Bresse",520111.301906123
"224","Charleroi","Bourg-en-Bresse",471256.850331274
"225","Gent","Bourg-en-Bresse",550402.846383526
"226","Liège","Bourg-en-Bresse",494329.72568962
"227","Louvain-la-Neuve","Bourg-en-Bresse",498286.076916437
"228","Namur","Bourg-en-Bresse",474502.914315742
"229","Tournai","Bourg-en-Bresse",507767.902592545
"230","Rio de Janeiro","Bourg-en-Bresse",11382730.8501853
"231","Montréal","Bourg-en-Bresse",5862799.0569819
"232","Trois-Rivières","Bourg-en-Bresse",7188320.76981684
"233","A Coruña","Bourg-en-Bresse",1120823.3298088
"234","Alcalá de Guadaíra","Bourg-en-Bresse",1349351.75995277
"235","Avilés","Bourg-en-Bresse",927217.018794011
"236","Barcelone","Bourg-en-Bresse",589446.18905733
"237","Bilbao","Bourg-en-Bresse",723570.449738038
"238","Dos Hermanas","Bourg-en-Bresse",1359089.66627051
"239","Elche","Bourg-en-Bresse",1010224.56789041
"240","Granada","Bourg-en-Bresse",9457484.74964698
"241","Huesca","Bourg-en-Bresse",637813.128057459
