id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
ETH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FJI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FLK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FRA	1	1.78306287284357e-24	2.55915186382883e-08	1	0.592420114713737	0.635697830562516	0.127932900342333	0.772008108321782	1	0.811363944736382	0.190011683567911	0.795424638047018	0.000305526063980454	0.0777291684908919	0.0652044810300752	0.871670407992081	1	0.419229502983604	0.568584288976141	1	1	0.80587254233218	0.258435526494388	1	1	0.128820806234468	0.379443985555046	1	1	1	0.2995523908464	0.0422390489222702	1	1	1	0.253986246097645	1	1	1	1	1	1	1	1	1	3.05671261631246e-18	1.02962825966492e-17	0.0438538516369237	0.0576371338927024	0.00221756392886512	0.150492667301965	1	1
FRO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FSM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GAB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GBR	1	0.968531445162327	0.255240421407983	0.168344752232054	0.974452389500783	0.964558826562003	0.898087733756306	0.916954570398337	0.00134585458621747	0.896980781498181	0.491532822191484	0.670871685461754	0.0310692338291338	0.499224251896037	0.397910972760467	0.734333410976266	0.492017140813407	0.000613927554171688	2.24736269478901e-08	0.225278331235411	0.12898299723032	0.949628848169626	0.202566803540246	0.239818049187674	0.0313484536588244	0.25613835675591	0.640541858779813	0.609910123119357	1	1	0.0815962683202242	0.691954876476846	0.687763206683062	0.357521603725513	1	0.899803957619	0.0179819477173846	0.922208325534252	0.64077367959791	1	1	0.646021619393143	0.892438514362989	1	0.132856212372533	1	0.928491299402997	0.302698980144723	0.212942823026432	0.629827052185187	1	1	0.0993876044000138
GEO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
